number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp,Superconductivity Type
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,52.5,1
6,126.7918617,782.7666667,161.3333333,7333.5715,58.25833333,5.685333333,80.88776333,2.333333333,52.6,1
5,69.17125,753.08,170.4,3698.6858,62.564,8.2524,127.005316,2.2,52.6,1
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,52.6,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,52.6,1
5,101.62801,725.46,186.2,5292.8858,76.17,7.3444,88.805316,2.6,52.6,1
7,81.50137857,774.3714286,157.5714286,4933.347,56.87142857,8.501714286,111.4323686,2.571428571,52.6,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,52.6,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,52.7,1
4,90.2786,773.025,163,4870.35725,82.3375,7.1055,108.756645,2.25,52.7,1
6,83.42209167,733.4666667,162.3333333,4910.5715,54.1,7.577,116.3377633,2.333333333,52.75,1
5,65.75360386,734.32,169.6,3582.2858,72.65,7.0644,115.005316,2,52.8,1
4,90.2786,773.025,163,4870.35725,82.3375,7.1055,108.756645,2.25,52.8,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,52.8,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,52.8,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,52.9,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,52.9,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,53,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,53,1
6,73.20226155,732.5,156.5,3981.5715,69.96666667,7.227,130.50443,2.333333333,53,1
4,105.313925,787.375,150.5,6080.35725,74.6375,6.3805,116.006645,2.25,53,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,53,1
5,69.229774,747.52,160.2,3857.4858,64.46,7.2324,129.605316,2.2,53,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,53,1
5,88.45565,796.32,162.4,7416.6858,63.206,13.1444,100.005316,3.2,53,1
5,60.78765,776.06,160,4114.0858,61.826,10.2844,94.805316,2.6,53,1
5,81.78288,739.38,174.2,3853.0858,66.644,7.8324,126.405316,2.2,53,1
6,67.4649075,753.9166667,167.3333333,4565.5715,63.00333333,9.577,122.50443,2.5,53,1
5,81.78288,739.38,174.2,3853.0858,66.644,7.8324,126.405316,2.2,53,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,53,1
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,53,1
6,90.52137833,817.95,144,4643.5715,110.3666667,8.087,107.24593,3.333333333,53,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,53,1
5,69.17125,753.08,170.4,3698.6858,62.564,8.2524,127.005316,2.2,53,1
5,83.9503,853.1,149.8,6463.0858,67.246,8.8224,107.465316,2.8,53,1
6,88.1058,794.4333333,151.6666667,5261.904833,61.16666667,7.843666667,123.1710967,2.5,53,1
6,86.27073333,717,180.1666667,3870.238167,56.625,7.593666667,115.3377633,2.166666667,53,1
5,86.16748,734.16,157.6,5077.0858,71.95,6.8024,92.805316,2.4,53,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,53,1
6,89.05098333,708.6,187.3333333,4368.904833,61.16333333,7.937,80.50443,2.5,53,1
4,104.3656,891.65,154.25,6501.35725,69.8375,5.903,106.581645,2,53,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,53,1
6,110.3206167,790.8166667,161.1666667,6567.5715,50.65333333,6.058666667,112.05443,2.166666667,53,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,53,1
7,81.50137857,774.3714286,157.5714286,4933.347,56.87142857,8.501714286,111.4323686,2.571428571,53,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,53,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,53,1
5,62.54385,739.18,165,3495.6858,74.01,7.1444,104.005316,2,53,1
5,96.56848,894.48,151.8,6629.0858,56.17,6.1924,109.265316,2,53,1
6,79.74081667,833.6166667,149.6666667,6870.5715,74.955,10.21866667,104.7210967,2.666666667,53,1
6,78.52697417,769.3666667,151.6666667,5065.238167,61.16666667,8.993666667,108.45443,2.833333333,53,1
7,122.3773886,785.2714286,169.5714286,8551.347,64.79,11.58742857,91.47522571,3,53,1
7,96.82284214,751.2428571,152.5714286,6461.632714,56.47142857,7.861714286,116.5752257,2.714285714,53,1
6,96.67120833,755.3833333,167,7000.404833,71.93833333,12.20366667,105.50443,3.166666667,53,1
7,110.5405429,736.3857143,163,5944.918429,64.8,7.718857143,98.71808286,2.857142857,53,1
4,72.752,887.475,131,5153.10725,72.675,12.2055,36.506645,3.25,53,1
4,74.2815,889.625,139,5238.85725,72.675,12.5555,35.506645,3.25,53,1
5,62.00128064,1045.98,113.2,4122.825,124.04,9.8164,29.210856,2.8,53,1
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,53,1
5,62.00128064,1045.98,113.2,4122.825,124.04,9.8164,29.210856,2.8,53,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,53.1,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,53.1,1
5,103.00601,736.28,185.2,5402.4858,76.17,7.6444,88.405316,2.6,53.1,1
6,90.52137833,817.95,144,4643.5715,110.3666667,8.087,107.24593,3.333333333,53.1,1
6,84.188275,752.4666667,160.1666667,4565.5715,66.1,8.693666667,110.00443,2.666666667,53.1,1
5,83.63785,808.64,163.8,5118.6858,62.09,7.8044,106.205316,2.2,53.2,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,53.4,1
5,104.542074,732.24,183.8,5581.2858,76.17,9.0444,89.405316,2.6,53.4,1
5,101.94881,726.82,184.8,4871.0858,76.17,7.5044,89.005316,2.6,53.5,1
6,101.40282,736.35,162,5512.904833,76.66166667,7.660333333,105.6710967,3,53.5,1
8,97.21370625,766.975,157.125,5734.178625,54.3375,8.03525,101.8783225,2.75,53.5,1
4,76.004,903.15,137.75,5375.85725,72.675,12.9305,35.006645,3.25,53.5,1
6,83.63673333,715.5333333,182,4092.0715,56.625,7.977,110.6710967,2.166666667,53.5,1
5,77.54900064,894.88,153.8,4717.1392,96.846,11.652,35.40554,2.8,53.5,1
3,72.2908,853.5333333,148.6666667,4157.143,92.61666667,7.107333333,139.3421933,2,53.5,1
5,62.38325,796.32,156,4787.4858,63.446,9.3044,106.205316,2.4,53.5,1
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,53.56,1
5,87.90048,812.12,164.2,5502.4858,66.17,7.7344,109.805316,2.2,53.6,1
6,81.12731667,715.3333333,183.1666667,4188.904833,60.72,8.027,108.00443,2.5,53.6,1
7,89.69784286,732.6857143,165.5714286,5591.775571,59,9.790285714,101.7180829,2.857142857,53.6,1
5,83.9503,853.1,149.8,6463.0858,67.246,8.8224,107.465316,2.8,53.6,1
4,76.004,903.15,137.75,5375.85725,72.675,12.9305,35.006645,3.25,53.6,1
4,72.752,887.475,131,5153.10725,72.675,12.2055,36.506645,3.25,53.7,1
7,77.80089286,782.2428571,166.4285714,5093.489857,44.92857143,8.893142857,97.47522571,2.428571429,53.75,1
5,101.94881,726.82,184.8,4871.0858,76.17,7.5044,89.005316,2.6,53.8,1
4,74.2815,889.625,139,5238.85725,72.675,12.5555,35.506645,3.25,53.8,1
7,71.88560714,699.0142857,172.4285714,3861.061286,49.96428571,7.836,99.86094,2.285714286,53.9,1
5,104.05601,730.84,184.2,5532.4858,76.17,7.8644,88.405316,2.6,53.9,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,54,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,54,1
6,73.20226155,732.5,156.5,3981.5715,69.96666667,7.227,130.50443,2.333333333,54,1
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,54,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54,1
5,87.90048,812.12,164.2,5502.4858,66.17,7.7344,109.805316,2.2,54,1
5,69.229774,747.52,160.2,3857.4858,64.46,7.2324,129.605316,2.2,54,1
5,95.89184,724.52,176.4,4988.4858,67.176,10.2644,93.805316,2.2,54,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,54,1
6,99.22608333,851.8166667,129.3333333,5828.5715,92.27166667,23.66533333,103.00443,3.166666667,54,1
5,64.69816064,957.92,141.4,3020.625,122.776,5.9164,90.610856,1.8,54,1
7,80.92317857,770.9428571,160.7142857,5293.061286,47.97142857,7.020285714,98.47522571,2.285714286,54,1
5,80.23848,736.3,169.2,4206.2858,66.644,7.3924,127.005316,2.2,54,1
5,69.229774,747.52,160.2,3857.4858,64.46,7.2324,129.605316,2.2,54,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54,1
7,97.44531429,764.4,150.2857143,6167.061286,73.65714286,8.961714286,109.86094,2.714285714,54,1
7,81.53751357,719.7285714,176.7142857,4945.347,57.85,10.566,109.7180829,2.428571429,54,1
5,86.38344,732.6,171.4,4772.4858,66.644,10.3724,126.805316,2.2,54,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,54,1
7,85.59641429,737.0285714,180,4826.204143,52.26,7.780285714,106.2895114,2.428571429,54,1
5,106.54937,720.04,182,5790.4858,76.17,10.0444,89.405316,2.6,54,1
5,87.61316,772.76,164.6,5986.0858,88.57,9.9244,104.005316,2.2,54,1
6,91.123145,790.6,162,5470.238167,53.96666667,6.408666667,109.3877633,2.166666667,54,1
6,99.560675,697.1833333,190.5,4497.5715,64.56333333,7.587,80.00443,2.5,54,1
5,110.79248,874.44,154.2,9229.0858,57.286,11.3224,98.265316,3,54,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,54,1
6,80.85525,861.8833333,148.5,6575.904833,56.28833333,8.577,109.55443,2.666666667,54,1
6,89.46058667,702.95,180.3333333,4467.904833,63.78666667,7.177,107.3377633,2.5,54,1
4,72.752,887.475,131,5153.10725,72.675,12.2055,36.506645,3.25,54,1
4,72.752,887.475,131,5153.10725,72.675,12.2055,36.506645,3.25,54,1
5,66.81700064,901.24,142.4,4432.5392,96.314,11.48,69.20554,2.8,54,1
4,74.2815,889.625,139,5238.85725,72.675,12.5555,35.506645,3.25,54,1
7,76.60754286,742.5428571,150.4285714,5357.775571,68.54285714,12.33742857,119.2895114,3,54,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,54.1,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.1,1
5,86.84328,802.66,163.8,4971.0858,66.17,7.5944,110.405316,2.2,54.1,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,54.1,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.1,1
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,54.1,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.1,1
6,51.35999167,816.2666667,147.5,3312.238167,76.55,24.377,132.00443,2.5,54.2,1
6,73.48020833,776.75,156,4997.904833,56.80833333,7.610333333,97.33776333,2.333333333,54.2,1
5,59.626788,973.96,121.8,4191.10378,73,10.156,28.441416,2.8,54.2,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,54.3,1
4,96.03285,785.4,168,5384.35725,82.3375,10.3055,108.256645,2.25,54.3,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,54.3,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,54.3,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,54.3,1
7,81.50137857,774.3714286,157.5714286,4933.347,56.87142857,8.501714286,111.4323686,2.571428571,54.3,1
6,92.85524167,737.6666667,166,4926.904833,69.5,7.943666667,109.3377633,2.833333333,54.3,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.35,1
8,97.21370625,766.975,157.125,5734.178625,54.3375,8.03525,101.8783225,2.75,54.4,1
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,54.5,1
5,69.17125,753.08,170.4,3698.6858,62.564,8.2524,127.005316,2.2,54.5,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,54.5,1
6,90.01631167,703.7666667,173.5,4529.5715,63.78666667,7.210333333,108.00443,2.333333333,54.5,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,54.5,1
6,95.14584167,740.0833333,180.3333333,5814.404833,66.34166667,8.670333333,86.83776333,2.666666667,54.5,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.6,1
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,54.6,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,54.7,1
4,91.8081,775.175,171,4956.10725,82.3375,7.4555,107.756645,2.25,54.7,1
5,59.626788,973.96,121.8,4191.10378,73,10.156,28.441416,2.8,54.7,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.8,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,54.8,1
7,97.0384,767.6714286,151.2857143,6019.347,59.9,8.476,108.1466543,2.857142857,54.8,1
5,99.337104,725.66,177.6,5051.4858,75.77,6.9044,88.805316,2.6,54.8,1
6,91.70659167,725.7166667,168,5057.238167,55.58666667,7.577,113.50443,2.333333333,54.8,1
6,84.188275,752.4666667,160.1666667,4565.5715,66.1,8.693666667,110.00443,2.666666667,54.9,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,54.9,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,54.9,1
7,66.50589286,759.0571429,165.4285714,3297.632714,74.40714286,7.284571429,95.74736857,2.714285714,54.9,1
4,74.2815,889.625,139,5238.85725,72.675,12.5555,35.506645,3.25,54.9,1
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,55,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,55,1
4,96.03285,785.4,168,5384.35725,82.3375,10.3055,108.256645,2.25,55,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55,1
4,95.45068,783.65,168,5316.60725,82.3375,9.5805,108.506645,2.25,55,1
4,96.03285,785.4,168,5384.35725,82.3375,10.3055,108.256645,2.25,55,1
5,89.90228,809.48,162.8,5735.4858,66.17,9.7144,110.605316,2.2,55,1
6,76.872645,766.15,162.8333333,4551.238167,55.45333333,7.252,125.1710967,2.166666667,55,1
5,105.00781,733.64,183.8,5635.4858,76.17,9.6244,89.205316,2.6,55,1
5,70.40625,781.46,162.8,5268.6858,74.686,13.7444,118.205316,3,55,1
6,83.89154167,754.5166667,162,4825.5715,56.75,7.672,114.50443,2.5,55,1
4,92.2091,776.875,169.25,4428.85725,82.3375,7.6555,108.006645,2.25,55,1
5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,55,1
7,90.29058857,789.0142857,153.7142857,4619.061286,99.04285714,8.560285714,94.35365429,3.285714286,55,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55,1
5,89.17885,743.22,168.6,4726.4858,72.09,7.6444,89.205316,2.6,55,1
7,80.92317857,770.9428571,160.7142857,5293.061286,47.97142857,7.020285714,98.47522571,2.285714286,55,1
4,105.313925,787.375,150.5,6080.35725,74.6375,6.3805,116.006645,2.25,55,1
5,88.45565,796.32,162.4,7416.6858,63.206,13.1444,100.005316,3.2,55,1
5,88.45565,796.32,162.4,7416.6858,63.206,13.1444,100.005316,3.2,55,1
6,97.44678333,731.4,164,5260.238167,57.5,6.960333333,120.00443,2.333333333,55,1
6,97.44678333,731.4,164,5260.238167,57.5,6.960333333,120.00443,2.333333333,55,1
8,111.936475,720.85,161.5,6184.053625,60.5,7.349,96.3783225,2.875,55,1
4,84.0249025,799.025,158.5,5227.85725,80.1075,9.5305,113.006645,2.25,55,1
7,77.80089286,782.2428571,166.4285714,5093.489857,44.92857143,8.893142857,97.47522571,2.428571429,55,1
6,92.67065,794.2833333,167.8333333,5790.904833,56.33,9.068666667,82.05443,2.5,55,1
6,76.872645,766.15,162.8333333,4551.238167,55.45333333,7.252,125.1710967,2.166666667,55,1
7,63.46960714,730.6571429,165.4285714,3369.061286,49.65,14.18028571,99.57522571,2.285714286,55,1
7,86.14527143,769.1571429,164.8571429,5685.061286,53.98571429,8.864571429,98.76094,2.571428571,55,1
6,86.27073333,717,180.1666667,3870.238167,56.625,7.593666667,115.3377633,2.166666667,55,1
6,98.75663333,830.7666667,129.6666667,5913.5715,89.62166667,23.57033333,104.8377633,3,55,1
6,90.01631167,703.7666667,173.5,4529.5715,63.78666667,7.210333333,108.00443,2.333333333,55,1
4,64.6322175,797.15,145.5,4164.35725,78.9425,7.0405,153.256645,2.25,55,1
6,93.05931167,709.6833333,177.1666667,4786.404833,63.78666667,7.877,107.00443,2.333333333,55,1
6,80.79362,717.75,174.5,4106.5715,60.38666667,7.927,108.00443,2.333333333,55,1
4,104.3656,891.65,154.25,6501.35725,69.8375,5.903,106.581645,2,55,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55,1
5,64.95533064,971.2,140,3389.025,127.69,6.5964,87.010856,2,55,1
5,64.95533064,971.2,140,3389.025,127.69,6.5964,87.010856,2,55,1
6,103.075675,706.5333333,189,4718.5715,64.56333333,7.320333333,84.17109667,2.5,55,1
5,88.330322,781.74,164.8,5933.0858,69.31,10.3844,102.805316,2.4,55,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,55,1
6,67.4649075,753.9166667,167.3333333,4565.5715,63.00333333,9.577,122.50443,2.5,55,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,55,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,55,1
5,109.83996,782.6,155.4,5588.2858,82.626,7.9844,96.405316,2.8,55,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55,1
5,83.9503,853.1,149.8,6463.0858,67.246,8.8224,107.465316,2.8,55,1
5,103.00601,736.28,185.2,5402.4858,76.17,7.6444,88.405316,2.6,55,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55,1
5,55.18976064,966,136.4,2804.625,122.244,6.0244,123.610856,1.8,55,1
6,120.3752117,761.05,150.6666667,6476.238167,74.62166667,7.215333333,81.83776333,3,55,1
4,74.2815,889.625,139,5238.85725,72.675,12.5555,35.506645,3.25,55,1
4,74.2815,889.625,139,5238.85725,72.675,12.5555,35.506645,3.25,55,1
5,63.22488064,1047.7,119.6,4191.425,124.04,10.0964,28.410856,2.8,55,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,55,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,55,1
5,61.004788,984.78,120.8,4300.70378,73,10.456,28.041416,2.8,55,1
5,59.626788,973.96,121.8,4191.10378,73,10.156,28.441416,2.8,55,1
2,67.4025,849.75,129.5,6346.5,106.85,9.6,39.76,4.5,55,1
6,73.48020833,776.75,156,4997.904833,56.80833333,7.610333333,97.33776333,2.333333333,55.1,1
5,86.56316,778.2,165.6,5856.0858,88.57,9.7044,104.005316,2.2,55.1,1
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,55.1,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55.1,1
5,85.99348,782.78,167,5649.2858,69.31,9.0244,101.605316,2.4,55.2,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,55.2,1
5,82.324574,772.16,159.4,5298.2858,68.91,8.2844,102.005316,2.4,55.2,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,55.2,1
5,82.324574,772.16,159.4,5298.2858,68.91,8.2844,102.005316,2.4,55.23,1
5,104.07756,768.3,152.2,5676.2858,82.626,7.8644,92.005316,2.8,55.28,1
5,72.942289,786.82,162,5168.6858,74.83,9.7844,107.005316,2.6,55.3,1
5,85.553919,773.12,165.8,5323.0858,78.91,9.3644,106.405316,2.6,55.3,1
6,110.7900667,811.8666667,160.8333333,6482.5715,53.30333333,6.153666667,110.2210967,2.333333333,55.3,1
5,59.626788,973.96,121.8,4191.10378,73,10.156,28.441416,2.8,55.3,1
6,84.711145,759.7166667,166,4802.904833,55.45333333,7.077,121.1710967,2.166666667,55.4,1
6,75.88701667,719.65,165.3333333,3962.904833,69.23333333,7.182,123.8377633,2.333333333,55.5,1
6,90.52137833,817.95,144,4643.5715,110.3666667,8.087,107.24593,3.333333333,55.5,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55.5,1
9,56.51434889,955.9666667,118.5555556,3591.418878,67.24444444,17.11444444,100.3592122,2.555555556,55.5,1
6,67.4649075,753.9166667,167.3333333,4565.5715,63.00333333,9.577,122.50443,2.5,55.5,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55.5,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55.55,1
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,55.6,1
7,63.46960714,730.6571429,165.4285714,3369.061286,49.65,14.18028571,99.57522571,2.285714286,55.6,1
6,92.521545,740.0833333,157.3333333,4844.5715,69.16666667,7.843666667,109.3377633,2.666666667,55.63,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,55.67,1
5,84.84188,746.2,173.2,4617.4858,66.644,9.9524,126.605316,2.2,55.7,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55.8,1
5,103.00601,736.28,185.2,5402.4858,76.17,7.6444,88.405316,2.6,55.8,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,55.87,1
5,87.90048,812.12,164.2,5502.4858,66.17,7.7344,109.805316,2.2,55.9,1
5,78.63588,818.22,147.8,4288.2858,106.17,6.0304,87.046316,3,56,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,56,1
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,56,1
4,105.313925,787.375,150.5,6080.35725,74.6375,6.3805,116.006645,2.25,56,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,56,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,56,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,56,1
5,103.00601,736.28,185.2,5402.4858,76.17,7.6444,88.405316,2.6,56,1
5,60.78765,776.06,160,4114.0858,61.826,10.2844,94.805316,2.6,56,1
6,79.1928325,776.25,150.1666667,5303.5715,71.78333333,9.493666667,123.8377633,2.833333333,56,1
6,91.03597833,705.2,178.8333333,4586.738167,63.78666667,7.443666667,107.3377633,2.333333333,56,1
5,92.74308,859.58,154.6,7081.0858,68.766,11.9224,116.465316,2.8,56,1
4,91.93885,903.275,145.75,6281.35725,67.6075,5.903,110.831645,2,56,1
7,71.88560714,699.0142857,172.4285714,3861.061286,49.96428571,7.836,99.86094,2.285714286,56,1
5,83.9503,853.1,149.8,6463.0858,67.246,8.8224,107.465316,2.8,56,1
4,84.0249025,799.025,158.5,5227.85725,80.1075,9.5305,113.006645,2.25,56,1
6,77.186875,717.2833333,168.8333333,4246.238167,57.64666667,7.718666667,83.17109667,2.333333333,56,1
5,100.40441,723.74,179.8,5224.2858,76.17,7.0644,89.605316,2.6,56,1
5,64.95533064,971.2,140,3389.025,127.69,6.5964,87.010856,2,56,1
6,93.05931167,709.6833333,177.1666667,4786.404833,63.78666667,7.877,107.00443,2.333333333,56,1
4,90.2786,773.025,163,4870.35725,82.3375,7.1055,108.756645,2.25,56,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,56,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,56,1
4,104.3656,891.65,154.25,6501.35725,69.8375,5.903,106.581645,2,56,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,56,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,56,1
5,79.171174,738.22,167,4033.4858,66.244,7.2324,126.205316,2.2,56,1
6,92.01256667,789,163.8333333,5614.238167,54.3,6.542,110.05443,2.166666667,56,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,56,1
7,89.19764571,680.9571429,185.8571429,4205.347,55.60714286,7.294571429,97.00379714,2.428571429,56,1
8,94.44298375,674.0375,180.375,4751.053625,52.45625,7.17775,94.8783225,2.375,56,1
5,92.74308,859.58,154.6,7081.0858,68.766,11.9224,116.465316,2.8,56,1
5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,56,1
5,62.38325,796.32,156,4787.4858,63.446,9.3044,106.205316,2.4,56,1
7,120.2959143,780.4285714,171.2857143,8345.347,64.79,10.37314286,91.04665429,3,56,1
6,97.06570833,753.6166667,166.1666667,7295.404833,61.255,11.87033333,85.17109667,3.333333333,56,1
5,55.18976064,966,136.4,2804.625,122.244,6.0244,123.610856,1.8,56,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,56,1
6,82.02454167,741.2333333,166.5,5505.404833,70.82166667,12.37033333,100.3377633,3.166666667,56,1
5,88.679574,730.14,172,4249.4858,66.776,7.1244,93.205316,2.2,56.1,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,56.1,1
5,89.33718,740.52,181,4716.6858,72.09,7.9244,89.605316,2.6,56.1,1
6,84.188275,752.4666667,160.1666667,4565.5715,66.1,8.693666667,110.00443,2.666666667,56.1,1
6,84.188275,752.4666667,160.1666667,4565.5715,66.1,8.693666667,110.00443,2.666666667,56.1,1
6,79.1928325,776.25,150.1666667,5303.5715,71.78333333,9.493666667,123.8377633,2.833333333,56.2,1
5,75.900356,760.58,156,5389.0858,79.17,10.7424,100.205316,2.8,56.2,1
5,61.004788,984.78,120.8,4300.70378,73,10.456,28.041416,2.8,56.2,1
5,74.23165,816.36,160,4816.6858,62.09,8.0144,111.005316,2.2,56.25,1
4,76.4445625,794,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,56.3,1
6,90.52137833,817.95,144,4643.5715,110.3666667,8.087,107.24593,3.333333333,56.3,1
